Group,NumofPartic,Letteringroup,Gender,Age,PRF.MEDIA,PRF.TOTALES,EXTROV.MEDIA.NEO,NEUROTIC.MEDIA.NEO,OPENNESS.MEDIA.NEO,AGREAB.MEDIA.NEO,CONSCIENT.MEDIA.NEO,group,letterId
1,4,K,male,29,0.75,12,3.25,3.17,4.17,3.58,4.5,1,K
1,4,L,female,,0.5,8,3.75,1.75,3.5,3.67,4.5,1,L
1,4,M,female,30,0.5,8,3.83,1.83,3.58,3.83,4.17,1,M
1,4,N,female,30,0.56,9,4.67,1.83,4.33,4.08,4.5,1,N
2,3,K,male,35,0.19,3,3.33,2.58,3.33,3.92,4.67,2,K
2,3,L,female,28,0.88,14,3.67,1.5,3.25,4.27,4.17,2,L
2,3,M,male,29,0.19,3,2.92,4,3.83,3.58,3.25,2,M
3,3,K,male,26,0.5,8,3.17,3.83,2.58,4,3.83,3,K
3,3,L,male,28,0.44,7,3.42,3.5,4,3.58,2.83,3,L
3,3,M,male,31,0.06,1,3.75,2,3.33,4,3.5,3,M
5,3,K,female,28,0.25,4,3.33,2.25,4.08,4.08,4.08,5,K
5,3,L,male,32,0.38,6,3.17,3.08,4.17,3.5,3.75,5,L
5,3,M,female,30,0.56,9,3.17,3,4.17,3.17,3.58,5,M
6,4,K,male,29,0.25,4,3.42,1.75,2.83,3.42,3.92,6,K
6,4,L,female,31,0.38,6,4.17,2.27,3.17,4.42,4.5,6,L
6,4,M,male,34,0.56,9,3.67,2.17,4.58,3.33,4.58,6,M
6,4,N,male,28,0.38,6,3.58,2.92,4.5,3.08,2.83,6,N
7,4,K,male,26,0.69,11,3.92,2.17,3.08,3.67,3.92,7,K
7,4,L,male,26,0.63,10,3.75,1.83,4.08,4.67,4.36,7,L
7,4,M,male,23,0.75,12,3,2.42,3.58,2.5,4.17,7,M
7,4,N,female,30,0.25,4,3.42,3.5,3.75,4.17,3.92,7,N
8,3,K,male,32,0.81,13,4,2.25,3.58,4,4.5,8,K
8,3,L,female,28,0.88,14,4.08,2.33,3.25,3.58,4.5,8,L
8,3,M,male,26,0.81,13,4.17,3.25,3.75,3.67,3.33,8,M
9,4,K,male,26,0.19,3,2.5,2.17,3.83,3.67,4.17,9,K
9,4,L,male,28,0.63,10,2.83,2.42,2.92,3.25,4,9,L
9,4,M,male,28,0.31,5,3.58,2.58,3.75,3.58,3.33,9,M
9,4,N,male,36,0,0,3.17,3,2.83,3.17,3.08,9,N
10,4,K,male,31,0.63,10,3.67,2.75,3.3,3.42,3.45,10,K
10,4,L,male,27,0.38,6,3.33,2.83,3.92,4.58,4.25,10,L
10,4,M,male,46,0.25,4,3,1.83,4.08,4.17,3.92,10,M
10,4,N,male,31,0.44,7,3.17,2.08,4.33,3.42,3.42,10,N
11,4,K,male,30,0.63,10,3.92,2.08,3.5,3.08,4.25,11,K
11,4,L,male,26,0.56,9,4.42,2.75,4,4,4,11,L
11,4,M,female,29,0.5,8,3.17,2.42,3.08,3.58,3.92,11,M
11,4,N,male,31,0.88,14,4,1.75,3.58,2.5,4.17,11,N
12,4,K,female,,0.13,2,3.36,2.17,3.73,3.83,4.42,12,K
12,4,L,male,29,0.81,13,4.5,2.42,4.33,4.08,4,12,L
12,4,M,male,28,0.25,4,3,1.83,3,3.58,4,12,M
12,4,N,male,19,0.38,6,2.67,3.25,3.5,3,4.92,12,N
13,3,K,male,25,0.69,11,3.33,2.17,3.67,4,3.75,13,K
13,3,L,male,27,0.56,9,3.5,1.91,3.17,3.92,4.08,13,L
13,3,M,female,28,0.56,9,4.17,2.25,4,4.25,4.25,13,M
14,4,K,female,26,0.56,9,4.5,2.5,3.83,4.08,3.33,14,K
14,4,L,male,30,0.69,11,3.25,2.42,3.42,4.33,4.42,14,L
14,4,M,male,27,0.88,14,4.08,1.92,3.08,3.67,3.83,14,M
14,4,N,male,20,0.88,14,4.17,1.83,3.92,3.42,4.58,14,N
16,4,K,male,24,0.94,15,3.83,1.92,3.92,4.08,3.92,16,K
16,4,L,female,24,0.5,8,3.25,3.33,2.83,3.67,3.58,16,L
16,4,M,female,20,0.75,12,3.67,2.58,2.92,3.83,3.75,16,M
16,4,N,female,25,0.25,4,3.83,3.67,3.25,4,3.75,16,N
17,3,K,male,28,0.63,10,3.58,2.5,4,4,3.5,17,K
17,3,L,female,24,0.69,11,4.08,2.25,3.42,4,3.25,17,L
17,3,M,female,21,0.5,8,4.08,3.08,3.92,4.17,4.33,17,M
19,4,K,male,28,0.88,14,4.08,2.5,3.17,3.75,4.45,19,K
19,4,L,female,24,0.5,8,3.75,1.67,3.17,4.08,4.75,19,L
19,4,M,male,22,0.63,10,3.67,2.58,3.75,3.42,4,19,M
19,4,N,male,18,0.75,12,4.08,1.92,3.08,3.58,3.92,19,N
21,4,K,F,26,0.69,11,4,2,3.33,4.5,4.13,21,K
21,4,L,M,37,0.75,12,3.88,1.88,3.5,4,4.25,21,L
21,4,M,M,32,0.06,1,3.38,3,4.17,4,3.63,21,M
21,4,N,M,28,0.06,1,3.13,3.38,2.83,4.75,3.38,21,N
22,4,K,M,24,0.44,7,2.88,2.63,4,3.75,3.25,22,K
22,4,L,F,46,0.44,7,3.38,1.75,3.58,3.5,3.88,22,L
22,4,M,M,28,0.5,8,3.5,2.25,3.92,3.5,3.25,22,M
22,4,N,M,24,0.69,11,3.5,2.25,3.42,4,3.88,22,N
23,4,K,M,21,0.56,9,4.5,2.75,4.33,4,4.25,23,K
23,4,L,M,36,0.56,9,3.75,2.63,3.33,3.75,4.38,23,L
23,4,M,M,27,0.25,4,3.38,1.88,3.5,4,3.25,23,M
24,4,K,M,40,0.38,6,2.88,2.75,3.08,3.25,3.38,24,K
24,4,L,M,28,0.31,5,3.38,2.25,3.67,3.75,4,24,L
24,4,M,M,25,0.75,12,3.63,2.25,3.83,3.5,3.63,24,M
24,4,N,F,30,0.56,9,4.5,1.25,3.92,4,4.5,24,N
25,4,K,M,28,0.5,8,3.38,1.13,3.33,3.5,4.13,25,K
25,4,L,M,26,0.44,7,4.13,2,3.5,4.25,4,25,L
25,4,M,M,25,0.38,6,3.38,2.63,3.17,4,3.88,25,M
25,4,N,M,27,0.31,5,4.5,1.63,2.33,4.25,4.88,25,N
26,4,K,M,21,0.81,13,4.63,2.88,2.75,4.25,3.5,26,K
26,4,L,F,19,0.13,2,4.5,3.38,3.08,4,3.63,26,L
26,4,M,M,18,0.5,8,3.38,1.75,3.58,4.25,4.13,26,M
26,4,N,M,19,0.63,10,3.63,2.63,3.08,4,2.63,26,N
28,4,K,M,20,0.88,14,4,2.88,3.33,4,3.63,28,K
28,4,L,F,20,1,16,4.75,2.25,2.75,4.5,4.13,28,L
28,4,M,F,21,0.88,14,3.63,2.25,3.17,4,3.88,28,M
28,4,N,F,28,0.63,10,4.25,1.38,3.25,4,4.5,28,N
30,4,K,M,23,0.88,14,4.25,2.13,3.67,2.75,4.38,30,K
30,4,L,M,22,0.31,5,3.13,2,3.08,2.75,3.5,30,L
30,4,M,F,25,0.69,11,3.75,3.38,3.25,3.5,5,30,M
30,4,N,M,23,0.88,14,4.75,2.63,4,5,4.88,30,N
32,3,K,F,26,0.19,3,3.25,2.5,3.08,4.25,3.75,32,K
32,3,L,M,18,0.75,12,4.63,2.75,3.5,4.5,4,32,L
32,3,M,F,19,0.94,15,4.25,2.75,3.08,3,4.25,32,M
34,4,K,F,21,0.31,5,4.75,1.63,3.67,3.5,4.5,34,K
34,4,L,M,27,0.44,7,3.63,2.63,2.67,3.5,3.75,34,L
34,4,M,F,22,0.63,10,3.88,2.5,3.08,3.25,3,34,M
34,4,N,M,30,0.5,8,3.75,1.63,4.08,4,3.25,34,N
36,3,K,M,24,0.69,11,3.75,2.75,3.58,3.75,3.88,36,K
36,3,L,M,21,0.19,3,3,1.63,3.33,4,3.63,36,L
36,3,M,M,21,0.69,11,4.88,2.38,4.17,4.5,4.5,36,M
38,4,K,M,,0.13,2,3.75,3,4.42,4,4.13,38,K
38,4,L,F,27,0.31,5,3.38,2,2.83,3.5,3.75,38,L
38,4,M,M,25,0.38,6,3.38,2.13,4.42,4.5,3.75,38,M
38,4,N,F,19,0.88,14,4,2.88,3.08,4.25,3.25,38,N
39,4,K,M,25,0.44,7,4,2.5,4.17,3.75,3,39,K
39,4,L,M,28,1,16,3.75,2.13,3.5,3.5,4.25,39,L
39,4,M,M,28,0.63,10,4.25,2,2.67,4.25,3.88,39,M
39,4,N,M,31,0.13,2,3,2.38,3.33,3.75,3.38,39,N